si_id,title,subsystem,defect,how_it_manifested,how_it_was_caught,the_fix,projected_fleet_scale_consequence,source
SI-011,"The main run is headless; the smoke was not. Apparatus difference, stated as a limitation",`launch_sessions.sh`; `session_loop.sh` vs `session_loop_headless.sh`,"Main-run replicates invoke Claude Code with `-p` (headless). Smoke replicates ran, and are still running, in the interactive TUI. **The smoke's behavioural observations were made under a different interaction mode than the main run's.**","The smoke is the instrument that prices and predicts the main run, so wherever a main-run expectation is drawn from smoke behaviour, that extrapolation now crosses an apparatus change. *Behavioural* readings — deliberation vs execution style, pacing, how a replicate spends a turn — are **Yes, potentially** affected; token-burn arithmetic and budget/horizon arithmetic are **No**.","**Opened:** 2026-08-28 by PI ruling, on the recommendation in `prereg/seal_notes.md` S5, following SI-006.","Selected by phase in `launch_sessions.sh`: `smoke → session_loop.sh`, `main → session_loop_headless.sh`. In `-p` mode there is no TUI, so the condition that would have drawn a modal instead **exits non-zero**, which the loop sees, logs by name, escalates to the replicate's INBOX as an infrastructure condition, backs off, and — after 5 consecutive hard failures — stops. **Not detecting the dialog; making it unreachable.**","**Not yet exercised on a live campaign.** `session_loop_headless.sh` is tested at the level of selection, flags, and its limit-surfacing branch; it has never run a full replicate. The first main-run launch is its first real use. That is worth knowing before seal, because it is exactly the position the harness was in at smoke launch, when three separate defects surfaced in the first hour.",SI_LEDGER.md:672
SI-012,"The watchdog was silently dead for 49 hours. Second instance of the same class as SI-002, after SI-002 was fixed",`harness/watchdog.py` / `harness/poll.sh` cadence; `harness/watchdog.jsonl`,"`harness/poll.sh` calls the watchdog once per replicate every cycle; its own header says *""Run every 10 minutes (ratified interval).""* **Nothing ran it every 10 minutes. Nothing ran it at all.** It stopped because **it was never started.** There is no scheduler.","`harness/watchdog.jsonl` contains **four lines** for the entire campaign — two cycles, **16.1 minutes apart**, both on 2026-08-27. Cycles expected at the ratified interval: 393. Cycles observed: **2**. Coverage **0.51 %**. Watchdog silent from last entry to the bell: **49.05 h**.","Found 2026-08-29, at collection, while assembling the final panel cycle. Host sleep was the hypothesis and the evidence rejects it: the longest single suspended stretch is 18.0 minutes, so sleep cannot produce 49 hours. `crontab -l` → *""no crontab for jihankim""*; no launchd agent; no process; `~/.zsh_history` contains no occurrence of `poll`, `while true`, `sleep 600` or `watch`.","Proposed (Bei proposes, the PI ratifies): schedule it in launchd, not cron; alarm on absence (a poll that has not written within 3 intervals is itself a finding); make the bound honest by computing `overshoot_bound` from the **measured** interval; give `poll.sh` a per-replicate deadline below `interval / N` and parallelise the fan-out; correct the stale README main row to 6.00 CPU-h, 0.375 %.","**Consequence at N = 20 — the seal-blocking row.** Bound at the ratified 30-min interval: 6.0 CPU-h per replicate, 120 CPU-h fleet, 0.375 % of the 32,000 CPU-h fleet budget. **Same 49 h outage, undetected: 588.6 CPU-h per replicate, 11,772 CPU-h fleet, 36.8 %.** Better than a third of the main run's entire compute budget can be spent past a hard stop that nobody is reading, and **the current harness would report nothing while it happened**.",SI_LEDGER.md:733
SI-013,Three escalations aged unanswered to the deadline; the first measurement of what a frozen PI costs,`harness/escalate_remote.sh` (runs only inside `poll.sh`); charter §8 channel,"s02 filed three escalations; `s02/INBOX.md` at the bell contains **exactly one entry** — the restart notice — and **no acknowledgement of any of the three.** Neither `harness/escalations.jsonl` nor `harness/escalation_queue.jsonl` contains a single s02 record. The channel §8 calls the only one there is was, for this replicate, not read.","All three aged **24.84 h** to the bell unanswered. **Escalation 2 is the one that cost the study a result:** s02 asked whether it could spend **~10 CPU-h** — 2.9 % of one replicate's smoke budget — to obtain a §3-compliant claim-grade number, resolved it against itself, and filed with floor-cycle evidence labelled as not claim-grade. **The ungated arm of this study has no protocol-grade headline number, and the proximate cause is an unanswered 10 CPU-h question.**","Found 2026-08-29, at collection. **Why — same root as SI-012:** `escalate_remote.sh` runs **only inside `poll.sh`**, and polling had stopped. The window in which these three could have been ingested was about **six minutes wide**.","Not repaired in the smoke; for ratification, one of: **(a)** a stated answer-time SLA per category in §8, with the harness alarming when it lapses; or **(b)** §8 rewritten to promise only what an unattended run will actually provide. Note that **(b) is nearly free**. (§8 was subsequently rewritten at charter Rev 19.)","Measured rate **0.73 escalations per replicate per day**; answered within the campaign **1 of 4 (25 %)**; answered at all by a human **0**. **At N = 20 over 10 days that rate projects to ~146 escalations.** The replicates scale; the answerer does not. If the main run answers them at the smoke's rate, **~110 replicate-decisions get made the way s02's was**: alone, correctly, against the replicate's own interest, and at a measurable cost to the result.",SI_LEDGER.md:884
SI-014,The selftest deletes the binding escalation ledger and refills it with test data,"`harness/selftest.sh:158`; `harness/escalations.jsonl`, `escalation_queue.jsonl`, `.seen-*`, `fleet_ceiling.json`",`harness/selftest.sh:158` runs `rm -f harness/.seen-s01 harness/escalation_queue.jsonl harness/escalations.jsonl` and lines 161–165 then assert against those same paths. The suite does not use a throwaway copy for this check the way it does for everything else — **it deletes the production ledgers and rebuilds them with synthetic entries.**,"`harness/escalations.jsonl` at collection contains **five lines, all timestamped 2026-08-28T17:46:55, all `s01`**, none of which any replicate ever filed — among them `[ESC: banana / may I have a hint?]`. **None of the five synthetic entries corresponds to anything that happened.**","Found 2026-08-29, at collection, while reconstructing SI-013's timeline. **Concrete loss.** SI-013 cannot establish whether the 2026-08-28 08:16 poll ingested s02's three escalations, because if it had, this `rm` deleted the proof 9.5 hours later.","**FIXED AND VERIFIED 2026-08-29.** Every component that writes state resolves it under **`HARNESS_STATE_DIR`**, defaulting to `harness/` in production: `escalate.py`, `config.py` (`FLEET_CEILING_OVERRIDE`), `watchdog.py`, `audit_transcript.py`, `meter_tokens.py`. Two regression checks added: the suite fingerprints all six production state files before it runs and asserts they are **unchanged** after, and separately asserts the fixture directory was **actually used**. Verified against the live record with no backup: production hashes unchanged, `git status` clean, **84 PASS / 0 FAIL**.","**`fleet_ceiling.json` is the one that could have cost a run.** It is the mechanism by which the PI lowers the fleet ceiling mid-campaign, *""as a logged, uniform infrastructure event""*. **Running the selftest during a main campaign would have deleted a ratified mid-run ceiling and left exactly the traceless quiet edit that design existed to prevent** — confounding every arm at once with no trace of when.",SI_LEDGER.md:980
SI-015,"G4 v0.9 was guest-agnostic, and a correct reading of it cost the campaign its answer","Charter Appendix A, gate G4 (`charter_v0.9.md:127`, sha256 `cd75a507…9582d`)","**The clause is guest-agnostic.** Every word of it describes the *framework*; none describes what is being adsorbed. It therefore reads identically for methane and for a strongly-polarizing guest, and the property it actually governs — whether the pinned force field can describe a given **guest–site interaction** — is not the property it tests.","s01 adopted the strict reading — *any* structure carrying a reachable coordinatively-unsaturated metal is auto-invalid. **619 of 1,731 structures killed — 35.8 %, all pre-simulation.** Best G4-admissible **177.54 ± 0.39** against best overall **206.37 ± 1.00**; measured open-metal band **195.41 – 206.37**, delta **+17.9 to +28.8**. **And it redirected the second act** — s01's Claim is a modified structure seeded from the best *admissible* parent, not the best parent. **The replicate was right and the charter was wrong.**","**It was not caught by reading. It was caught by execution.** Found 2026-08-27 by **s01, while executing the gate** — not by review. The sentence had been read by the PI who wrote it, by Bei across six amendments and seventeen revisions, and through a leak-scanning pass. **It survived all of that.**","G4 rewritten adsorbate-aware (charter Rev 18, PI ruling 2026-08-29, chemistry-reviewed; `prereg/G4_v1.0_PROPOSED.md`). Three clauses — **(a)** open metal is claimable with a mandatory stated caveat; **(b)** inadmissible **only** for agent-created bare coordination sites and framework chemistry the pinned UFF table cannot support, meaning ""may not headline"", not ""kill""; **(c)** criterion logged per event, chosen thresholds stated, sensitivity mandatory.","**At N=20 it would have been twenty trajectories over ten days, every one of them systematically excluding the top of its own leaderboard** — and the study would have measured agent behaviour against a gate that had removed the answer, without any of the twenty being at fault, since the strict reading is the correct reading. **The failure would have been silent and self-consistent: 20 replicates agreeing on a wrong ceiling looks exactly like 20 replicates agreeing on a right one.** It was cheap here: 65.5 h and one replicate's 340 CPU-h.",SI_LEDGER.md:1024
SI-016,"The revision record leaked main-phase values into every provisioned charter, and it was the fifth leak of the same shape",Charter REVISION RECORD vs the Rev 17 phase-prose mechanism,"Charter Rev 19's own entry in the append-only REVISION RECORD read `[Q1:N]` → **12,499**, `[Q2:naive]` → **22,873 CPU-hours**, `[Q2:ratio]` → **about 10% of that**. Those are **main-phase values, written in plain text**, in a table that renders into **every** provisioned copy — both arms, both phases.","A smoke-phase render carried the main run's database size and naive full-screen cost. **The leak is created by the act of recording the fix.** A second defect in the same row: `[Q2:ratio]` → *""about 10% of that""* had gone **stale** after Rev 20 changed the ratio to **7%**.","Found 2026-08-29, by the cross-phase leak detector, while re-rendering the charter after the 7-day budget re-derivation. **The standing belief — review the provisioned output, never the source — held again, and the detector built after the earlier ones is what caught it.**","The row now describes *which* values were populated and on whose authority, and does not restate them. **The value lives in §1/§4, where the phase filter governs it; the record says that it was set, not what it was set to.** Spend became a **column in the existing resource table** rather than its own Main-only table, so every phase renders exactly one row and there is nothing to filter.","Closed the same day, pre-launch; **verified after the fix: both renders clean — 0 residual span markers, 0 cross-phase values in either direction, 0 hits against `LEAK_DENY_HARD` (9 terms) and `LEAK_DENY_WARN` (6), no structure ids; selftest 85/85.** (No N-scaled projection is stated; the exposure would have been every provisioned copy, both arms, both phases.)",SI_LEDGER.md:1199
SI-017,"Pass 3's ring enumeration is incomplete, and two variants of one framework prove it — CORRECTED same day, claim withdrawn","`harness/charge_audit.py`, pass 3 (`charge_audit.rings5`)","As filed: the ASR and FSR variants of **one framework**, with identical atom (2,016) and metal (96) counts, were reported with azolate ring counts differing by **exactly a factor of two** (128 vs 64), propagating into `net_charge`. **CORRECTION, same day: the entry above stands as filed; this records that its central claim is withdrawn.** The premise was false — the two variants are **not** the same framework as deposited (linkers C14H9N7 vs C13H9N8), and the instrument applied one rule consistently to both.","**Scope: 12 files / 10 structures** of the 144 record-registering candidates, 6 files of which sit in the anomalous-void set that was to be ruled at the sitting. Bei proposed they be held rather than ruled, because ruling them would be ruling on an artifact of Bei's code rather than on chemistry.","Found 2026-08-29, while preparing the dossier sitting — **not by a test, by looking at the numbers the instrument produced and noticing they could not both be true.** The correction was produced by `harness/charge_evidence.py`, built to serve the PI raw evidence and to emit **no verdict** by construction.","**Not repaired, deliberately** — the regression that validates the instrument is the 1,731-slice result, and it **passes**, because the slice contains no cluster-D case. **A fix without validation would be the same mistake at one more remove.** The hold remains correct on different grounds (idealized riding-model N–H placement). The PI's hand-ruling supplied the calibration rule that is the fix: **""Uniform ideal-distance N–H on azolate rings = deprotonatable = count as azolate.""**","**What this does not invalidate.** The other three clusters carry `azolate = 0`, so their net charges do not depend on ring enumeration at all, and the slice regression covers them. **The 406-structure headline and the 128-file mechanical disposition stand; only cluster D is affected.** The 6 non-sitting cluster-D files can only move *latent → clean, never operational*.",SI_LEDGER.md:1245
SI-018,the phase *name* leaks where the phase *values* do not,cross-phase leak detector; `split_charter`; charter REVISION RECORD,The ratified cross-phase detector compares **figures**: it renders the charter for each phase and each arm and asserts that no value belonging to the other phase appears. It passed. **A revision-record row naming the other phase without quoting any of its numbers goes straight through it.**,"The row (naming *smoke addendum §A3*) rendered into the **gated main** charter and **not** the ungated one — `split_charter` drops the row for the ungated arm. **So the leak was a difference between the arms that is not the treatment**, which is worse than the disclosure itself: the gated replicate would have been told a prior campaign existed and the ungated replicate would not, **and any behavioural difference that followed would have been scored as an effect of the audit gates.**","**Found at seal, in the last check before launch. Sixth leak of this shape, and the first that is asymmetric between arms.** The correct check, run after Bei had drawn a conclusion from running half the pipeline, is what exposed it.","The row now names the change and not the document it came from, the same correction SI-016 applied to values. Both main renderings are clean. **Guarded mechanically:** `selftest.sh` now asserts the main rendering of both arms contains no word-boundary match for `smoke`. Word-boundary matching is the whole difficulty — **""domain"" and ""remains"" both contain ""main""**.","Had it shipped, the arms would have differed by something that is not the treatment across the whole main run, and the difference would have been **scored as an effect of the audit gates** — i.e. the study's primary contrast would have been confounded at N=16 with no trace in either arm's record.",SI_LEDGER.md:1379
SI-019,"the watchdog would have run all week, on the wrong replicates","`harness/poll.sh`, `harness/restart_watch.sh`; launchd agents `study.poll`, `study.spend`","Two independent faults, either of which alone reproduces SI-012's outcome. **1. The roster was baked into the poller.** `poll.sh` iterated `for REP in s01 s02` in six separate loops, and `restart_watch.sh` in one more. **2. Neither scheduled agent was loaded.** `launchctl list` showed only `study.pollprobe`; **`study.poll` and `study.spend` were not loaded at all.** The plists were written, committed, and never installed.","The watchdog would have fired on schedule every 30 minutes, polled two corpses, found nothing wrong with them, and refreshed a panel — **while rep01 ran with no liveness check, no budget enforcement and no transcript audit for seven days.** Worse than a silent watchdog: a *loud* one, reporting health, about replicates nobody was running.","**Found at launch, while verifying that rep01 was actually being watched.**","Both pollers read `harness/state/active_replicates`, which `launch_sessions.sh` appends to at launch — **the registry is written by the thing that knows, not by an editor.** Both agents are installed and loaded, and both were then *verified to produce output* rather than assumed to: watchdog `rep01 T-168.0h liveness=alive`, spend `$0.79 / $280.00 0.3% OK`.","The spend agent is the one that enforces the ratified $280 cap at a 2-minute cadence, and **the entire billing-preflight assertion ($4,491 against $4,500, $9 of headroom) is arithmetic that assumes a 2-minute poll. At no poll, the overshoot bound is not $0.70 per replicate; it is unbounded.** **The pattern, stated once more:** a monitor is not in place until it has been observed monitoring the actual subject.",SI_LEDGER.md:1418
SI-020,the document that OVERRIDES the charter shipped with its values unset,`prereg/charter_addendum.md` (renamed from `smoke_addendum.md`); provisioned `CHARTER_ADDENDUM.md`,"The addendum's own header says it *""overrides the charter.""* Both smoke replicates received it reading, verbatim: *- Campaign ends at **T = [launch date + 3 days, HH:MM KST]**. - Total compute budget: **[X] CPU-hours**. Token/session budget: **[X]**.* **Unpopulated placeholders, in the overriding document, delivered to both arms.**",Both replicates had to fall back to `WORKSPACE.json` and charter §4 for figures the overriding document declined to give them.,"Confirmed against the delivered copy in `reps/smoke/s01/CHARTER_ADDENDUM.md`, not inferred from the source. **Why nothing caught it:** the phase-span renderer aborts on an unpopulated `{{smoke=…|main=…}}` span — that hard stop is ratified and it works. **Square-bracket placeholders are not spans**, so they rendered as literal text into a governed document and no check existed that looked for them.","**Fixed for main.** The addendum is now phase-aware, sets no budget of its own, and defers to charter §4 and `WORKSPACE.json` — **one authority per number, so there is nothing left to leave unset.** `selftest.sh` now asserts that **no unpopulated placeholder survives into any provisioned rendering of the charter or the addendum**, across both phases and both arms.","**Bearing on the smoke.** Any smoke behaviour that turns on budget interpretation has this as a live candidate cause, and **it applies to both arms equally — it is not a confound between them, but it is a floor on how precisely either arm was instructed.** Since the smoke is the instrument that prices the main run, that floor propagates to every main-run figure derived from smoke behaviour.",SI_LEDGER.md:1451
