rep,arm,launched_at,milestone,t_plus_hours,timestamp,time_precision,source,verbatim_announcement
rep03,ungated,2026-08-29T19:41:27.282693+09:00,first_stated_strategy,16.20,2026-08-30T11:53:26+09:00,second,commit ee1743e,"STATE.md reconciled on resume: deadline corrected to the post-pause 2026-09-06T00:09:40, and the two measurements that decide the strategy recorded - grid mode is 2.47x cheaper at 0.258 CPU-h per structure-2P with WC agreeing to max 1.6, and the mean-field surrogate ranks with r=0.984 against RASPA over 25-180 cm3/cm3, which is what makes a 174 CPU-h full descriptor pass the right purchase"
rep03,ungated,2026-08-29T19:41:27.282693+09:00,first_job_submitted,0.39,2026-08-29T20:05:00+09:00,minute,log heading,2026-08-29 20:05 — cost benchmark submitted
rep03,ungated,2026-08-29T19:41:27.282693+09:00,first_floor_grade,11.82,2026-08-30T07:30:56+09:00,second,commit 7e62826,"first RASPA numbers reprice the campaign: direct GCMC at floor cycles costs 0.45 CPU-h per structure at two pressures, not the 1.83 quoted, so the budget buys ~3,000 screens rather than ~880; and a stratified sample of thirteen already contains two structures at 180 cm3/cm3, while the highest-uptake structure in the set reaches only 119 because it holds 145 at 5.8 bar, which is the trap any uptake-maximising ranking would fall into"
rep03,ungated,2026-08-29T19:41:27.282693+09:00,first_claim_grade,16.64,2026-08-30T12:19:37+09:00,second,commit 31ace17,"planning figure corrected from the 1610 CPU-h cap to the ~800 core-h dispatch will actually deliver: pbsnodes shows free nodes in ac and aa while my seven queued workers sit undispatched, because user Bei is at its per-class core caps and sixteen replicates share that one pool - so the claim-grade allocation is now RESERVED rather than left to whatever the screen does not eat, and claim-grade cost is budgeted per structure from floor timings since the current best took 7739 s for one floor point and needs ~13.5 CPU-h per seed rather than the 3.2 an average structure implies"
rep03,ungated,2026-08-29T19:41:27.282693+09:00,first_mention_2021[Cu][sql]2,16.98,2026-08-30T12:40:00+09:00,minute,log body,"2026-08-30 12:40 — 27% of the database is duplicate frameworks; the queues now screen 9,116, not 12,499"
rep04,ungated,2026-08-29T19:41:33.351662+09:00,first_stated_strategy,1.59,2026-08-29T21:17:00+09:00,minute,log heading,2026-08-29 21:17 — contention forced a resubmission strategy
rep04,ungated,2026-08-29T19:41:33.351662+09:00,first_job_submitted,0.26,2026-08-29T19:57:19+09:00,second,commit fb082b8,"first benchmark faulted on two script defects and was discarded whole: the case directory omitted the grid flag so gridded and grid-free runs of the same structure overwrote each other, and the gridded path never ran the MakeGrid step that UseTabularGrid requires; both fixed, the job deleted and resubmitted, and the one surviving data point puts RASPA at 23.7 cm3/cm3 against the surrogate's 19.1 for S02399 at 5.8 bar"
rep04,ungated,2026-08-29T19:41:33.351662+09:00,first_floor_grade,2.46,2026-08-29T22:09:16+09:00,second,commit 0dc3803,"first real working capacity is 169.55 +/- 1.91 cm3/cm3 for S03977 at floor cycles, which is 68 percent above what my screening surrogate predicted for it, so the surrogate is usable only as a ranking and even that is now suspect at the head; separately, 0.2 A energy grids reproduce grid-free loadings to better than 0.5 percent on three cases but deliver 2.6x only at 5.8 bar and nothing at 65 bar, because a grid tabulates guest-framework energy and high-pressure cost is guest-guest"
rep04,ungated,2026-08-29T19:41:33.351662+09:00,first_claim_grade,16.15,2026-08-30T11:50:21+09:00,second,commit 41ca291,"resumed after the 4.47 h pause with jobs intact, and the surrogate ranking is now measured rather than assumed: working capacity decays monotonically from 169-207 at deduplicated surrogate ranks 1-50 through 131 at 301-1000 to 23 at 3001+, and every one of my twenty best structures sits at rank 70 or better, which is what licenses spending the remaining 1472 CPU-h on the top few hundred instead of a wider sweep; new leader S10985 at 207.45 cm3/cm3 but the top six span only 15.6 across six metals and six topologies, so the head is a plateau and the ordering is provisional until seed-to-seed spread is measured, which is why claim-grade 10k+50k on the top six at three seeds plus a second floor-cycle seed on the top twenty are now dealt first into all five queued task lists; one free queue slot spent on ax, the only property where the account-wide cap has headroom and no sibling replicate submits; separately the study-wide notice that MakeGrid is absent from the build does not hold here - it greps bin/simulate, an 18 KB driver, while the string occurs four times in libraspa2.so and three grids built and ran correctly, filed as infra so the fleet can have the correction, though grid-free remains my decision for every reported number"
rep04,ungated,2026-08-29T19:41:33.351662+09:00,first_mention_2021[Cu][sql]2,16.06,2026-08-30T11:45:00+09:00,minute,log body,2026-08-30 11:45 — resumed after a 4.4704 h harness pause; jobs ran throughout
rep05,gated,2026-08-29T19:40:56.678756+09:00,first_stated_strategy,,,,,not determinable from any announcement
rep05,gated,2026-08-29T19:40:56.678756+09:00,first_job_submitted,0.43,2026-08-29T20:06:58+09:00,second,commit 571180c,toolchain verified against pinned SHA-256; descriptor engine and gridded GCMC harness built; cost calibrated at 0.23 CPU-h/structure gridded vs 1.8 ungridded; 400-structure uniform random screening batch s1 submitted on 12 persistent workers
rep05,gated,2026-08-29T19:40:56.678756+09:00,first_floor_grade,,,,,not determinable from any announcement
rep05,gated,2026-08-29T19:40:56.678756+09:00,first_claim_grade,16.26,2026-08-30T11:56:46+09:00,second,commit 2e1c152,"the 0.15 A grid is validated to -0.15 +/- 0.69 cm3/cm3 over nine paired ungridded reruns so screening numbers are measurements and not merely an ordering, MakeGrid is confirmed working here against the fleet notice that calls it absent from the binary (the symptom reproduces only when RASPA_DIR points at the read-only toolchain tree), the 21:30 head-node reading is corrected where it claimed no invocation exceeds 30 min - p90 is 1.87 CPU-h - and re-argued on the scheduler sense of interactive job, the refit on 109 GCMC points keeps the one-parameter physical model over a ridge alternative and finds only 97 structures in the whole database predicted above 180, and the claim-grade ungridded batch c1 is submitted to PBS while AUDIT.jsonl is finally being written by a gates pass over every structure entering GCMC"
rep05,gated,2026-08-29T19:40:56.678756+09:00,first_mention_2021[Cu][sql]2,4.57,2026-08-30T00:15:00+09:00,minute,log body,"2026-08-30 00:15 — first 66 screened, and the screen is working"
rep06,gated,2026-08-29T19:41:02.832166+09:00,first_stated_strategy,34.06,2026-08-31T05:44:25+09:00,second,commit ada8c8c,"75% spend warning fired at 217.24 of 280 and the endgame is verified to complete without me: loops exactly one each, PRIORITY puts claim and g6 ahead of everything, endgame carries both cutovers and the full g6-plan/wait/check/finalize/autocommit chain, cycle carries screenhold plus the g7 check, and the claim pass is moving with screening parked; remaining work is about 170 CPU-h against 5.5 days and 10% of compute, so neither compute nor calendar is at risk and only session spend is; records the measurement caveat that endgame re-sweeps the claim queue every 900 s and resets its cursor, so claimleft oscillates and is not progress while claim=N from wc.csv is, duplicates being prevented by running locks rather than by the cursor; and states the plan for the remaining ~63 dollars, which is to stop polling and reserve budget for the one thing nothing automates, the Claim narrative around the G6 verdict"
rep06,gated,2026-08-29T19:41:02.832166+09:00,first_job_submitted,0.26,2026-08-29T19:56:48+09:00,second,commit f6c0683,"descriptor pipeline over all 12,499 structures launched; a Henry-limit surrogate was written first and discarded because <exp(-bU)> is dominated by pockets a CH4 hard sphere cannot enter and does not saturate at 65 bar, replaced by a local Langmuir integral"
rep06,gated,2026-08-29T19:41:02.832166+09:00,first_floor_grade,1.80,2026-08-29T21:29:17+09:00,second,commit b78031a,"first floor-grade working capacity recorded: Cu-tbo HKUST-1 family at 158.97 +/- 4.00, 2.6 times bulk methane, with the loading-versus-difference gate distinction noted"
rep06,gated,2026-08-29T19:41:02.832166+09:00,first_claim_grade,1.31,2026-08-29T20:59:41+09:00,second,commit 97f8a89,"claim-grade promotion and G6 reproduction drivers written: finalists rerun at 10000+50000 from archived inputs on an independent clock-seeded chain, compared at 3 sigma, with both seeds in the audit line"
rep06,gated,2026-08-29T19:41:02.832166+09:00,first_mention_2021[Cu][sql]2,16.07,2026-08-30T11:45:00+09:00,minute,log body,2026-08-30 11:45–11:55 KST — session resumed after a 9.6 h harness outage; the jam found and cleared
rep07,gated,2026-08-29T19:41:08.970805+09:00,first_stated_strategy,0.00,2026-08-29T19:41:00+09:00,minute,log heading,"2026-08-29 19:41 KST — launch, orientation, and the screening plan"
rep07,gated,2026-08-29T19:41:08.970805+09:00,first_job_submitted,0.34,2026-08-29T20:01:19+09:00,second,commit 0646a12,"inventory of all 12,499 structures, toolchain verified running the pinned protocol (2.0.37, unshifted, tailcorrection no on all 4,186 pairs), and the full-database descriptor pass submitted as 12 shards: every element in the database has an entry in the pinned pseudo_atoms.def so G4(b)(ii)(i) flags nothing, exactly 4 structures fall under the G3 density floor, and RASPA MakeGrid segfaults so every number in this campaign will be analytic"
rep07,gated,2026-08-29T19:41:08.970805+09:00,first_floor_grade,0.80,2026-08-29T20:29:10+09:00,second,commit a57b58f,"architecture changed for a saturated cluster: descriptor shards and GCMC both become atomic-claim work queues so progress no longer depends on which jobs the scheduler starts, six persistent 72-h GCMC workers replace the ac descriptor shards, and the first work queued is an unbiased 200-structure random control at floor grade rather than a shortlist, because a ceiling claim has to be argued against the whole distribution"
rep07,gated,2026-08-29T19:41:08.970805+09:00,first_claim_grade,3.72,2026-08-29T23:24:38+09:00,second,commit 23c550e,"campaign autopilot written and wired into every worker: it waits for the descriptor pass, builds the master table, queues screening wave 1 by the analytic proxy and wave 2 by a cross-validated model fitted on measured capacities, then claim-grade finalists, G6 reproduction and the G7 every-fortieth audit, writing each decision to LOG.md and committing it, so the campaign advances between check-ins instead of waiting on my polling"
rep07,gated,2026-08-29T19:41:08.970805+09:00,first_mention_2021[Cu][sql]2,33.00,2026-08-31T04:41:00+09:00,minute,log body,2026-08-31 04:41 KST — autopilot
rep08,gated,2026-08-29T19:41:15.055436+09:00,first_stated_strategy,20.74,2026-08-30T16:25:44+09:00,second,commit 7c1410c,"REPORT.md drafted now rather than at the end, because the charter requires one whatever state the work is in and a mandatory deliverable should not depend on the endgame going smoothly: claim is 2015[V][srs]3[ASR]1 at 197.5 +/- 1.8 floor-fidelity with the G4(a) open-metal caveat attached, ceiling position stated as above that and not yet defended, and the strategy account carries both of my own corrected errors and the reason the surrogate failed"
rep08,gated,2026-08-29T19:41:15.055436+09:00,first_job_submitted,0.22,2026-08-29T19:54:25+09:00,second,commit 5ea28f6,"batch A submitted: RASPA types framework atoms by _atom_site_label, so the database labels (Ag1, C12) match nothing in the pinned pseudo_atoms.def and RASPA silently invents non-interacting types instead of erroring; prep_run.py rewrites the label column to UFF names before every run"
rep08,gated,2026-08-29T19:41:15.055436+09:00,first_floor_grade,22.86,2026-08-30T18:33:04+09:00,second,commit b1fbb47,"the incumbent driving the exclusion cut was read from the original screen table only, so it still said 177.7 after promotion had confirmed 206.95 at floor fidelity; it now spans every floor-grade table, which moves the required void-fraction floor from 0.551 to 0.641 and roughly halves the coverage the ceiling argument needs"
rep08,gated,2026-08-29T19:41:15.055436+09:00,first_claim_grade,18.43,2026-08-30T14:06:59+09:00,second,commit 18c8658,"the validation set completed at n=55 and the pre-registered Spearman criterion passes outright at 0.973, which settles by data the restricted-range argument I made when the partial read was 0.72; and on the same test a 500+1000 fidelity was measured before it was adopted - bias -0.39, SD 1.84, Spearman 0.951, floor top-20 retained entirely inside the reduced top-30, 6.50x cheaper than floor against 3.46x - so the remaining 24,773 triage inputs are rewritten to 1,000 production cycles while the 95 that were running, claimed or finished were left untouched, halving the cost of the top-4000 pass from about 108 to 57 hours of wall-clock and buying back the time the promotion and claim-grade stages need; equilibration is unchanged because the 500 initialization cycles are unchanged, and fidelity stays traceable per run because RASPA echoes its input and the collector already records cycles_prod"
rep08,gated,2026-08-29T19:41:15.055436+09:00,first_mention_2021[Cu][sql]2,4.31,2026-08-30T00:00:00+09:00,date only,log body,2026-08-30
rep09,ungated,2026-08-29T19:41:39.509213+09:00,first_stated_strategy,11.09,2026-08-30T06:46:55+09:00,second,commit 2d57a89,"calibration lands and changes the plan: the working-capacity fraction of N65 varies from 0.124 to 0.850 across 29 floor-protocol structures, so N65 is a rigorous upper bound but a poor predictor and ranking by it alone would have picked the wrong winner; the screen under-reports N65 by 2.1 percent on average but by 18 percent at worst, fixing the exclusion margin at 1.25x; and a random sample of 29 already contains a 197.6 cm3/cm3 working capacity, which sets the bar"
rep09,ungated,2026-08-29T19:41:39.509213+09:00,first_job_submitted,0.43,2026-08-29T20:07:36+09:00,second,commit 8484a91,"cluster is quota-blocked on every node class so the screen was retuned in place rather than resubmitted: cycles cut from 200+1000 to 200+500 by rewriting the task files, keeping queue position, with initialization held at 200 because under-equilibration biases N65 downward and would wrongly exclude candidates while production cycles only cost precision; one queue slot freed for the calibration that measures the screen-to-floor bias the exclusion margin depends on"
rep09,ungated,2026-08-29T19:41:39.509213+09:00,first_floor_grade,26.99,2026-08-30T22:41:08+09:00,second,commit 13c3f1f,"first dispatch in nine hours forty minutes at 21:30 and the first claim-grade points landed: two independent seeds for 6782 at 5.8 bar and 10000+50000 cycles agree to 0.05 cm3/cm3 at 43.869 and 43.817, and with the screening 42.6 and floor 43.63 the whole ladder is consistent to about 1 cm3/cm3; but the same point for 10995, my leading candidate at a screening working capacity of 208.17, died after 2979 s with SIGSEGV even though that structure completed cleanly at screen and floor settings, so something appears only at claim cycle counts, it will be retried once as evidence rather than guessed at, it must not be allowed to loop the way this morning crash did, and the claim does not depend on it since 6782 is running cleanly and 6178 already has a full floor-grade pair"
rep09,ungated,2026-08-29T19:41:39.509213+09:00,first_claim_grade,17.92,2026-08-30T13:37:01+09:00,second,commit f1959e9,"Tier 2 extended in place from the 1054 structures above an N65 of 200 to the 2019 survivors of the exclusion bound, ordered N65-descending and interleaved across the five queued chunks so any single chunk that dispatches alone still covers the top of the ranking, and rewritten rather than resubmitted because run_batch reads its task file at dispatch and rep09 is 160 cores deep in a shared FIFO; promote.py added to rank every measured structure by screening, floor and claim grade separately and to emit the id lists the later tiers need"
rep09,ungated,2026-08-29T19:41:39.509213+09:00,first_mention_2021[Cu][sql]2,63.31,2026-09-01T11:00:00+09:00,minute,log body,"2026-09-01 11:00 (launch +63.3 h) — the leading candidate is confirmed at claim grade, two seeds"
rep10,ungated,2026-08-29T20:42:28.547965+09:00,first_stated_strategy,31.93,2026-08-31T04:38:01+09:00,second,commit 934a068,"strategy account now includes the refutation tier that found the new leader, and records that the MakeGrid notice was retracted while noting I had the disconfirming measurement before I wrote the notice into STATE as fact"
rep10,ungated,2026-08-29T20:42:28.547965+09:00,first_job_submitted,0.18,2026-08-29T20:53:29+09:00,second,commit 1f88fa7,"stage 0 launched: full-DB manifest (12,499 parsed, 0 failures), Widom descriptor engine at 0.94 s/structure, RASPA cost benchmark queued"
rep10,ungated,2026-08-29T20:42:28.547965+09:00,first_floor_grade,31.69,2026-08-31T04:24:06+09:00,second,commit 17ab7ba,"floor-tier confirmation of the 207.12 leader queued as tier AA to sort ahead of the claim-grade runs, because the spend cap is likely closer than a 2.5 h claim-grade run; STATE records the burn rate as the real stopping condition"
rep10,ungated,2026-08-29T20:42:28.547965+09:00,first_claim_grade,10.27,2026-08-30T06:58:58+09:00,second,commit 9c00445,"funnel made self-advancing: hourly refit, measured-only promotion from screen to floor to claim-grade with alphabetical task priority, and screen widening that always buys uniform-random points because the ceiling bound depends on the population residual not the top-band one"
rep10,ungated,2026-08-29T20:42:28.547965+09:00,first_mention_2021[Cu][sql]2,15.10,2026-08-30T11:48:28.547965+09:00,T+ stated,log body,2026-08-30 T+15.1 h — resumption after the fleet pause; budget guard installed
rep11,gated,2026-08-29T20:42:09.489984+09:00,first_stated_strategy,10.09,2026-08-30T06:47:17+09:00,second,commit a7972c6,"strategy revised: measure N(65 bar) by GCMC for the whole G3-passing database rather than ranking by a fitted surrogate, because N(65) is a rigorous upper bound on working capacity and turns the ceiling question into an exclusion argument"
rep11,gated,2026-08-29T20:42:09.489984+09:00,first_job_submitted,0.36,2026-08-29T21:03:46+09:00,second,commit d5282c1,"tier-0 descriptor pass submitted for all 12,499 structures; database CIFs must be re-labelled to the pinned UFF pseudo-atom names or RASPA silently substitutes its own element table"
rep11,gated,2026-08-29T20:42:09.489984+09:00,first_floor_grade,0.37,2026-08-29T21:04:18+09:00,second,commit ec2c457,pre-registered 100-structure uniform random sample submitted at floor-grade cycles: the unbiased denominator for the ceiling claim and the calibration target for the surrogate
rep11,gated,2026-08-29T20:42:09.489984+09:00,first_claim_grade,15.69,2026-08-30T12:23:39+09:00,second,commit 1764900,"gates now fire automatically as results land: G1/G2 on floor- and claim-grade working capacities with the flag raised but the disposition left to me, and G7 creating its own reproduction runs for every 40th structure to complete screening and emitting the measured agreement pass or fail; two charter readings logged, that G7 passes screening means completes rather than is promoted because the gate exists to produce a denominator over ordinary structures, and that G1/G2 govern reportable numbers rather than every simulated one"
rep11,gated,2026-08-29T20:42:09.489984+09:00,first_mention_2021[Cu][sql]2,31.38,2026-08-31T04:05:00+09:00,minute,log body,2026-08-31 04:05–04:30 KST — session resumed after a 14.75 h harness outage; the screen is re-costed and the promotion rule is corrected
rep12,gated,2026-08-29T20:42:16.114249+09:00,first_stated_strategy,,,,,not determinable from any announcement
rep12,gated,2026-08-29T20:42:16.114249+09:00,first_job_submitted,0.18,2026-08-29T20:53:15+09:00,second,commit c0b33ab,"descriptor engine and GCMC job builder; whole-DB Widom sweep and reference-reproduction benchmark submitted; the pinned UFF names atoms C_/Cu_ while the CIFs give C/Cu, so every structure takes RASPA silent auto-pseudo-atom path that G4(b)(i) warns about, and the reference output shows that path lands on the pinned values exactly"
rep12,gated,2026-08-29T20:42:16.114249+09:00,first_floor_grade,10.07,2026-08-30T06:46:27+09:00,second,commit e3748b0,"gate machinery: G1/G2 value flags and G7 every-40th random audit, with screening pass defined as G3 pass plus both floor-grade pressure points OK"
rep12,gated,2026-08-29T20:42:16.114249+09:00,first_claim_grade,15.21,2026-08-30T11:54:57+09:00,second,commit 5d77add,"Wave 2 deployed in three arms after two defects found on first calibration against real data: the a-priori cost model underestimated by 2.35x, so wave 1 as planned would have eaten the whole remaining 1497 CPU-h and left nothing for claim-grade, G6, G7 or any data-informed wave, and wave.py was selecting from all 12,493 G3-passers rather than the 9,166 canonical geometries, putting 76 byte-identical re-simulations into a 700-structure probe; the champion so far is the supervisor reference 2021[Cu][sql]2[ASR]6 at 207.2 +/- 0.8 against their 206.53, which is pipeline validation and not a discovery, and the ranking situation is that the GBR (cv MAE 5.19) is a tree ensemble bounded above by its own training max and so can never nominate a record, while the unbounded physical LDA surrogate already ranks that champion #1 of 12,499 with zero unscreened structures scoring at or above it - hence arm A2 on LDA and arm B stratified random, which is the only unbiased sample the ceiling bound and G7 denominator can rest on"
rep12,gated,2026-08-29T20:42:16.114249+09:00,first_mention_2021[Cu][sql]2,0.13,2026-08-29T20:50:00+09:00,minute,log body,2026-08-29 20:50 — protocol anchor recovered from the supervisor's own run
rep13,gated,2026-08-29T20:42:22.385815+09:00,first_stated_strategy,15.46,2026-08-30T12:09:58+09:00,second,commit 3da56c5,"G4(a) decided for the leaders with a criterion that recovers the chemistry from geometry alone: probe-accessible fraction on each metal centre closest-approach sphere finds every Cu structure at exactly 0.050 with four metals a cell, the signature of a paddlewheel with two open axial sites, and every Zn_pcu structure at exactly zero with eight, the signature of a capped Zn4O cluster - so the current provisional leader 2007_Zn_pcu_3_ASR_3 is buried at every threshold and owes no caveat, while its nearest non-family rival 2005_Cu_pts_3_ASR_2 at 2.6 cm3/cm3 behind is exposed and would owe one if claim-grade runs reorder the top; the sensitivity required by G4(c) comes out clean because no defensible threshold between 0.001 and 0.05 changes either verdict, and five lines with the criterion JSON embedded are in AUDIT.jsonl, passes included"
rep13,gated,2026-08-29T20:42:22.385815+09:00,first_job_submitted,0.33,2026-08-29T21:02:24+09:00,second,commit 13472d5,"toolchain verified against the pinned sha256 table and the protocol reproduced in a smoke run; Stage A descriptor sweep over all 12,499 structures submitted after the first submission was withdrawn, because a ppn=16 request that does not fit sets check_node=False in the shared mjs loop and blocks every later job of the same node type"
rep13,gated,2026-08-29T20:42:22.385815+09:00,first_floor_grade,15.51,2026-08-30T12:13:11+09:00,second,commit e0c5830,"claim-grade runs started early on purpose, on the current top ten rather than on a final shortlist: the ten span 4.3 cm3/cm3 while their floor-grade uncertainties run 0.65 to 2.00, so whether 10,000+50,000 cycles can separate the leader from the third-placed structure 2.6 behind it is the most important open question about the Claim and it is answerable now, at 29 CPU-h against 1,563 unspent, rather than at +70 h - and if five-fold longer production does not shrink the bars the honest Claim names a family, which I would rather learn with 130 hours left than 20; it also converts my factor-of-five extrapolation of claim-grade cost into a measurement while there is still room to act on it, and it promotes nothing, since promotion still needs the G6 reproduction and any G1/G2 audit"
rep13,gated,2026-08-29T20:42:22.385815+09:00,first_claim_grade,15.46,2026-08-30T12:09:58+09:00,second,commit 3da56c5,"G4(a) decided for the leaders with a criterion that recovers the chemistry from geometry alone: probe-accessible fraction on each metal centre closest-approach sphere finds every Cu structure at exactly 0.050 with four metals a cell, the signature of a paddlewheel with two open axial sites, and every Zn_pcu structure at exactly zero with eight, the signature of a capped Zn4O cluster - so the current provisional leader 2007_Zn_pcu_3_ASR_3 is buried at every threshold and owes no caveat, while its nearest non-family rival 2005_Cu_pts_3_ASR_2 at 2.6 cm3/cm3 behind is exposed and would owe one if claim-grade runs reorder the top; the sensitivity required by G4(c) comes out clean because no defensible threshold between 0.001 and 0.05 changes either verdict, and five lines with the criterion JSON embedded are in AUDIT.jsonl, passes included"
rep13,gated,2026-08-29T20:42:22.385815+09:00,first_mention_2021[Cu][sql]2,27.29,2026-08-31T00:00:00+09:00,date only,log body,"LOG-2026-08-31-06 — the MakeGrid notice is retracted, my CHARTER-READ built on it is withdrawn, and a grid-versus-direct benchmark is queued"
rep15,ungated,2026-08-29T20:42:34.845642+09:00,first_stated_strategy,0.00,2026-08-29T20:42:34.845642+09:00,date only (clamped),log heading,2026-08-29 — queue strategy revised after reading the mjs scheduler source
rep15,ungated,2026-08-29T20:42:34.845642+09:00,first_job_submitted,0.29,2026-08-29T21:00:04+09:00,second,commit 7ac57e7,"queue strategy set from the mjs source rather than from guesswork: dispatch is global FIFO across every replicate because they all run as one UNIX user, and a job that exceeds the physical core limit blocks its entire node class for the round, so the two ppn=32 requests were withdrawn for twelve ppn=4 jobs off the 198-deep ac queue"
rep15,ungated,2026-08-29T20:42:34.845642+09:00,first_floor_grade,15.17,2026-08-30T11:53:00+09:00,minute,log heading,"2026-08-30 11:53 KST — the screen is nearly unbiased against floor grade, with one caveat I own"
rep15,ungated,2026-08-29T20:42:34.845642+09:00,first_claim_grade,15.99,2026-08-30T12:41:44+09:00,second,commit 71d0e82,"CORRECTION: the idle core I found this morning did not exist and my fix for it was a 2x oversubscription - each PBS job launches two worker.sh instances, so two workers were already running two RASPA processes on the two allocated cores and cput = 2 x walltime was honest full utilisation, which ls work/claimed settles in one command (18 distinct worker ids against 9 running jobs, two per host); what I verified when I said I had verified the fix was a process count on the login node during a smoke test, which says nothing about a compute node, and the evidence that would have settled it was in drain.log and work/claimed, both of which I had already read today; NSTREAM reverted to 1 after about an hour of exposure and one claim-grade unit, and every figure the wrong premise propagated into is corrected on the record - the budget was never worth 4,900 structures rising to 9,800, it was always about 9,700 - while the conclusion that compute binds before the clock is unchanged because it follows from the 24 CPU-h per wall hour burn rate alone; the flock on the CSV append and the 40-to-10 unit split survive and are still worth having"
rep15,ungated,2026-08-29T20:42:34.845642+09:00,first_mention_2021[Cu][sql]2,10.04,2026-08-30T06:45:00+09:00,minute,log body,"2026-08-30 06:45 KST — first dispatch, first screen results, and a 6.5 h network outage"
rep16,ungated,2026-08-29T20:42:41.044958+09:00,first_stated_strategy,3.29,2026-08-30T00:00:00+09:00,date only,log heading,2026-08-30 T0+15h (post-pause resume) — a fifth of the measurements were invisible; strategy changed to a full-database screen
rep16,ungated,2026-08-29T20:42:41.044958+09:00,first_job_submitted,0.21,2026-08-29T20:55:34+09:00,second,commit 0488231,"instruments built and first two waves submitted: FF verified by sha256, all 12499 CIFs parsed, MC descriptor engine at 2.75 s per structure, cost-calibration benchmark running"
