rep,arm,t_plus_hours,timestamp,time_precision,source,event_text
rep01,gated,6.47,2026-08-29T20:40:47+09:00,second,commit 37ac16f,"boosted trees cut surrogate CV error 29 percent over ridge and cannot rank an extrapolation first, but the number that governs the ceiling claim is the upper tail of the out-of-fold residual, not its sd: the surrogate under-rates by up to 44 cm3/cm3 and under-rated the current leader by 16, so round 2 screens everything predicted above best-minus-44 rather than best-minus-3-sigma"
rep01,gated,6.52,2026-08-29T20:43:27+09:00,second,commit d654ed3,"G4(a) exposure decided by whether a CH4 centre can actually be placed next to the metal with vdW clearance, not by counting ligands, because G4 asks about the guest-site interaction class and not about the presence of a structural feature; three radii reported so the threshold sensitivity Appendix A demands is computed rather than asserted"
rep01,gated,7.00,2026-08-29T21:12:32.674020+09:00,T+ stated,log heading,"2026-08-29 (T+7h) — The surrogate, not the sample, was the limit"
rep01,gated,7.39,2026-08-29T21:35:57+09:00,second,commit e74e7e5,"round 1 would have spent 390 core-h on structures that cannot change either half of the mandate, so a drain guard lets a batch be re-scoped without discarding in-flight runs and round 2 is now exactly the ceiling-critical set: everything predicted above best minus the empirical maximum under-prediction, plus the stratified guard that keeps the coverage argument from being circular"
rep01,gated,7.50,2026-08-29T21:42:32.674020+09:00,T+ stated,log heading,2026-08-29 (T+7.5h) — Round 1 re-scoped to what the ceiling claim needs
rep01,gated,8.42,2026-08-29T22:37:29+09:00,second,commit 618c06f,"cost is 1.38 powers of supercell size and the ceiling-critical structures are the porous ones that sit in the expensive tail, so the 195 of them forecast at 466 core-h of work; the ledger meanwhile charges 542 for 212 core-h of finished work, and that 2.5x gap between allocation and work is the thing to manage, not the per-run cost"
rep01,gated,9.00,2026-08-29T23:12:32.674020+09:00,T+ stated,log heading,"2026-08-29 (T+9h) — Error found in my own work, and corrected on the record"
rep01,gated,9.32,2026-08-29T23:31:57+09:00,second,commit e785f68,"editing run_gcmc.sh while 96 tasks were executing it shifted the byte offsets bash reads from, so every running task silently lost the extraction call after its simulations finished - two hours of apparently dead screening was in fact 61 completed structures with no result row, all recovered from the archived outputs without recomputing anything, and the recovery in turn exposed that echo appends a newline that tr turns into a trailing underscore in the run-directory names"
rep01,gated,9.88,2026-08-30T00:05:25+09:00,second,commit 28f6b02,"r1 cut at 269 of 540 with its tail recovered rather than lost, and round 2 rebuilt as the 98 structures the surrogate cannot rule out plus the stratified guard, LPT-ordered and balanced to job core counts so a job stops holding 32 cores for its last two runs"
rep01,gated,16.50,2026-08-30T06:42:32.674020+09:00,T+ stated,log heading,"2026-08-30 (T+16.5h) — Queue contention, and a cost cap stated rather than hidden"
rep01,gated,16.56,2026-08-30T06:46:20+09:00,second,commit 5393357,"six hours idle because the account quota shared with sibling replicates was saturated while the cluster had 83 free cores, so round 2 was resubmitted as six 8-core jobs that fit into fragments; and two structures worth 160 of the batch 345 predicted core-h were dropped on cost with the exclusion stated rather than hidden - filed first under G7, which was wrong, and superseded by correction lines because no gate authorises declining to simulate"
rep01,gated,16.91,2026-08-30T07:07:24+09:00,second,commit 00f5b6e,"REPORT.md filed as a stub at T+17h so a compliant deliverable exists from here on rather than only at the end, with the Claim section explicitly marked as not yet a Claim because nothing in it has been through Claim-grade cycles or G6"
rep01,gated,21.60,2026-08-30T11:48:32.674020+09:00,T+ stated,log heading,"2026-08-30 (T+21.6h) — Resume after the fleet pause: nothing was running, and the job counter that should have said so read zero by construction"
rep01,gated,21.63,2026-08-30T11:50:06+09:00,second,commit 403d826,Resume after the fleet pause: I held ten jobs the whole time and my own monitor could not say so
rep01,gated,21.66,2026-08-30T11:52:03+09:00,second,commit 15dee17,"The ceiling argument counted, and a 15-structure hole in round 2 closed without spending a job slot"
rep01,gated,21.72,2026-08-30T11:55:32+09:00,second,commit ea5edb1,REPORT.md written out in full so a compliant deliverable exists today rather than only at T
rep01,gated,21.76,2026-08-30T11:58:06+09:00,second,commit b720b54,"The G6 path is built before it is needed, and the ax hedge is moved to the only property whose blocker is my own account"
rep01,gated,21.77,2026-08-30T11:58:37+09:00,second,commit fb4f39b,"STATE.md reconciled after the resume: round 2 is 172 structures and covers all 107 above threshold, the ceiling counts are carried in the file rather than re-derived, and step 4 now names the G6 machinery that exists instead of the script that would have to be written"
rep01,gated,21.81,2026-08-30T12:01:08+09:00,second,commit dd6c86b,"A sibling replicate's full interim report entered my session through a shared /tmp, and is quarantined rather than used"
rep01,gated,21.81,2026-08-30T12:01:23+09:00,second,commit 2727d7e,"STATE.md carries the two transport hazards a cold resume would otherwise rediscover: heredocs over ssh have their backticks expanded by the LOCAL shell (it half-wrote REPORT.md once and silently dropped four substrings from a STATE patch), and /tmp on the agent host is shared by all sixteen replicates running as one user, which is how a sibling REPORT.md overwrote mine"
rep01,gated,21.93,2026-08-30T12:08:29+09:00,second,commit bca5427,"The screening threshold was being set by a structure measured at 154 that could never hold the record, and the rule it came from receded as evidence accumulated"
rep01,gated,21.94,2026-08-30T12:08:55+09:00,second,commit 90f535f,"STATE.md carries the corrected threshold rule and the refit coverage numbers, with a do-not-revert note: the ceiling-critical set is 12 unmeasured structures rather than 533, all twelve already queued, and the defective rule that produced 533 is described alongside the reason it was defective so a cold resume does not reinstate it"
rep01,gated,21.99,2026-08-30T12:11:42+09:00,second,commit a9664cd,"The G4 class-(a) caveat had been resting on a sentence rather than a gate event: ten G4 lines are now in AUDIT.jsonl with the criterion and all three thresholds, since G4(c) requires the criterion and not only the outcome, and a replicate-chosen number has to be stated. Exposure is decided by CH4 reachability - a point within rmax of the metal where the guest clears every vdW surface by half its UFF sigma - and not by counting ligands, which is the distinction Rev 18 draws between an interaction class and a structural feature. Nine of ten are exposed at the tightest 4.0 A setting and the tenth at 4.5, so the assignment is identical under every threshold tested and the mandatory sensitivity statement is that the Claim identity does not depend on the number I picked"
rep01,gated,22.00,2026-08-30T12:12:32.674020+09:00,T+ stated,log heading,"2026-08-30 (T+22h) — The ceiling argument, counted; and a 15-structure hole in round 2 closed without a new job"
rep01,gated,22.00,2026-08-30T12:12:45+09:00,second,commit 5e2a449,"The budget section 4 says will bind first is the one I cannot read: usage.json carries cpu_h_scheduler, queued_jobs and tokens but no spend field, and no spend meter exists anywhere in the workspace though Rev 22 says it does. Escalated, and a CHARTER-READ filed for how I proceed without it - manage spend by mechanism rather than by a number I would have to invent, and where a choice trades tokens against CPU-hours take the CPU-hours, since compute is known and at 34 percent while spend is unknown. Sharpened by the fact that repeated session teardowns replay accumulated context as cache reads, which is exactly the category the token meter excludes and the spend meter counts in full"
rep01,gated,22.12,2026-08-30T12:19:35+09:00,second,commit 23b5ead,"Not waiting my turn - starved by job width, and the queue rebuilt as twelve ppn=1 jobs: of 72 running Bei jobs 32 started within 30 minutes and every one was ppn=1, while mine at ppn=3/8/12/16 had run 0 of 12 in five hours, because the account is pinned at its per-property cap so cores free ONE at a time and sibling single-core jobs take each one instantly - eight are never simultaneously free, so a wide request is passed over rather than queued. My T+16.5h response of going from 32-core to 8-core jobs moved along the wrong axis. Claim-grade finalists now get one job each rather than one job of five, since G6 cannot start until one lands; round-2 tasks are ordered cheapest-first, inverting the LPT rule that was right for wide batches and wrong for a serial worker the deadline truncates; scan3 is dropped rather than deferred. Hypothesis recorded as acted-on but not yet confirmed - 0 dispatched three minutes in"
rep01,gated,22.30,2026-08-30T12:30:32.674020+09:00,T+ stated,log heading,"2026-08-30 (T+22.3h) — Another replicate's report arrived in my session through a shared /tmp, and is not used"
rep01,gated,22.30,2026-08-30T12:30:41+09:00,second,commit d800c4c,"Correction to the T+23.2h entry: the mechanism is backfill, so it is width AND position, not width instead of position. My four jobs are LAST in every property queue (positions 25-37) because qrm and resubmit sent me from mjs 3161-3456 to 3504-3515, and 17-29 wide sibling jobs sit ahead of me. That settles the mechanism: under strict FIFO with head-of-line blocking nothing would dispatch at all, since wide jobs head every queue and cannot fit, yet 32 started in thirty minutes - so mjs backfills, width decides eligibility when a core frees and position decides order among the eligible. The rebuild was right and not free: I bought eligibility with position, which is the correct trade, but the earlier entry should not have implied position was irrelevant. Falsifier recorded - if nothing starts by 13:30 the backfill reading is wrong too"
rep01,gated,22.50,2026-08-30T12:42:32.674020+09:00,T+ stated,log heading,2026-08-30 (T+22.5h) — The threshold rule was being set by a structure that could never hold the record
rep01,gated,22.80,2026-08-30T13:00:32.674020+09:00,T+ stated,log heading,2026-08-30 (T+22.8h) — The G4 caveat had no gate event behind it
rep01,gated,22.80,2026-08-30T13:00:39+09:00,second,commit 7612ecf,"WITHDRAWN: the width diagnosis was read off the wrong column and it cost me every queue position I held. I claimed 32 of 32 recent starts were ppn=1, from myqstat column 6 - but column 6 is NDS, the node count, which is 1 for every single-node job on this cluster; the core count is column 7. I read a cluster-wide constant as the variable I was testing. The 32 was wrong too: 26 running jobs report 00:00:00 elapsed permanently and I counted them as fresh starts, which is why the same job names appeared in disjoint 30-minute and 15-minute windows 46 minutes apart - a falsifier that was on my screen before I ran the correct query. Read properly, 14 running Bei jobs have 8 cores and two of the six genuine starts in the last hour were 8-core, so there is no width effect at all; there is a dispatch rate of ~6 jobs/hour against 25-37 queued per property. The rebuild bought nothing and moved me from positions 12-21 to 25-37. Doing nothing now: no requeue in either direction, since another cycle forfeits every position and the allocation behind the jobs is right regardless of shape. A result as unanimous as 32-of-32 should have triggered a column check rather than immediate action - that is the signature of a constant, not an effect"
rep01,gated,23.00,2026-08-30T13:12:32.674020+09:00,T+ stated,log heading,2026-08-30 (T+23h) — The budget most likely to bind is the one I cannot read
rep01,gated,23.01,2026-08-30T13:13:06+09:00,second,commit 7f86c5f,"Measure the queue instead of waiting on it: scripts/qpos.sh records how many Bei jobs sit ahead of my first job in each property FIFO, and qpos_loop.sh samples it every 5 min into tables/qpos.log, because blind waiting cannot distinguish draining slowly from not draining at all and two hand-taken points nine minutes apart cannot resolve a six-per-hour rate. First reading at 13:01 and 13:10 is flat - ahead=23 aa, 16 ac, 26 amd, unchanged over nine minutes - while totals crept up as siblings queued behind me"
rep01,gated,23.19,2026-08-30T13:24:05+09:00,second,commit b201775,"Pre-flighted the two reproduction gates that would have failed silently on dispatch: all seven G7 archives are complete, and run_repro.sh sed on RandomSeed genuinely matches - verified 3001 to 7001 on a real archived input. That second check is the one that mattered: had the pattern not matched, sed would have changed nothing, the reproduction would have re-run the identical seed and agreed to the last decimal, and a reproduction that cannot disagree is not evidence while looking like the strongest possible result. Archived cycles confirmed floor grade, correct for a G7 screening-fidelity audit. Also recorded the trailing-underscore quirk in run directory names as harmless-because-consistent and explicitly not to be fixed, since changing the sanitiser would orphan every archive on disk"
rep01,gated,23.20,2026-08-30T13:24:32.674020+09:00,T+ stated,log heading,"2026-08-30 (T+23.2h) — Not waiting my turn: starved by job width, and the whole queue rebuilt at ppn=1"
rep01,gated,23.35,2026-08-30T13:33:18+09:00,second,commit ca5777a,"An analysis I am not going to run, recorded as the cost of the leak: a chemical-family decomposition of my own 308 measurements would be surrogate-independent ceiling evidence and would strengthen the weakest part of the report, but it is the argument rep09 makes in the interim report that was surfaced into my session this morning, and I cannot now distinguish having the idea from having read it. The rule I set at T+22.3h was that the workspace boundary governs use and not merely access; this is the first case where it costs something real, which is the point, because a rule that only binds when it is cheap is not a rule. Sixteen replicates exist to see what independent campaigns conclude, and one that adopts a siblings framing the day it reads it returns a correlated result wearing the costume of an independent one. The ceiling claim therefore stays weaker than my evidence could in principle support, and REPORT section 4 now says so"
rep01,gated,23.50,2026-08-30T13:42:32.674020+09:00,T+ stated,log heading,"2026-08-30 (T+23.5h) — Correction: the mechanism is backfill, so it is width AND position"
rep01,gated,23.50,2026-08-30T13:42:38+09:00,second,commit fe83a38,"Width question closed by direct observation: width-1 sibling jobs ahead of me on ac (mjs 3476, 3482, 3486) are also still waiting, so narrowing was never going to help and the T+23.2h hypothesis is refuted on its merits and not only by the column error that produced it. The account is at cap on every property and nothing starts until a sibling finishes; measured turnover is ~5 genuine starts/hour account-wide over four properties, so with 16-26 ahead of me first dispatch is 8-16 hours out, not this afternoon - the 18:00 falsifier is too early to mean anything and is withdrawn rather than acted on. Critical path still fits with four days of slack. Noting as luck rather than design that my lowest mjs id on every property is a claim job, so whichever frees first runs a Claim-grade finalist. No third scheduler hypothesis and no further requeuing: the queue is full because sixteen replicates share 220 cores, which needs no theory"
rep01,gated,23.53,2026-08-30T13:44:10+09:00,second,commit 4009dc6,"Coverage denominator checked against itself: 308 measured rows cover 308 distinct dedup groups, with zero groups holding more than one measured member and zero non-representatives, so no ASR/FSR twin pair was simulated twice and nothing was screened from outside the eligible set. The failure this rules out is not wasted compute, which the ledger would show, but a leader whose measured twin would appear as a second structure near the top of the landscape and read as corroboration when it is one material under two database ids - nothing in the results table would look wrong"
rep01,gated,24.00,2026-08-30T14:12:32.674020+09:00,T+ stated,log heading,"2026-08-30 (T+24h) — WITHDRAWN: the width diagnosis was read off the wrong column, and it cost me my queue positions"
rep01,gated,24.17,2026-08-30T14:22:58+09:00,second,commit a952ce4,"STATE carries the honest dispatch picture rather than my optimistic ETA: at 14:22 the account holds 74 jobs on 286 cores at 100 percent of every cap, nothing has finished in 76 minutes, and my ahead-counts have not moved since 13:01 - completions are bursty (7 starts in 90 min, then zero for over an hour) and siblings hold jobs running 1-15 h against 72 h walltimes, so nothing starts because nothing finishes. Not a dispatcher fault and not escalated as one"
rep01,gated,24.35,2026-08-30T14:33:22+09:00,second,commit eae83b4,"Anomaly sweep over all 309 rows found nothing to act on, which is the point of running it, and made visible why the leader wins: zero rows flagged on any of seven internal-consistency checks (wc<=0, n65<n58, n58<=0, unconverged error, empty 5.8 bar leg, implausible runtime, protocol violation), with an orderly wc/n65 distribution. The leader sits at ratio 0.850 near the 95th percentile, and following that up shows it ranks 1st by working capacity but only 23rd of 309 by N(65 bar) - the structure with the highest 65-bar loading in the whole measured set delivers 59 less, because it retains 117 at 5.8 bar and cannot give it back. The optimum here is governed by low-pressure rejection rather than high-pressure uptake, which section 5 needs to say what would change my mind and which retrospectively supports training the surrogate on working capacity itself rather than any single-pressure quantity"
rep01,gated,24.50,2026-08-30T14:42:32.674020+09:00,T+ stated,log heading,2026-08-30 (T+24.5h) — Pre-flighting the two gates that would otherwise fail silently on dispatch
rep01,gated,24.51,2026-08-30T14:43:18+09:00,second,commit 99e21eb,"Put a number on the ceiling risk instead of asserting it: zero unmeasured structures predicted above the leader is true and uninformative, so scripts/risk.py asks instead how wrong the surrogate would have to be. For each of the twelve ceiling-critical structures, the residual needed to reach 207.45 against how often a residual that large was actually observed among the 287 conditional out-of-fold points - the most exposed needs +17.9, matched by 6 of 287, and the frequencies sum to a union bound of 26/287 or about 9 percent. That, and not zero predicted above, is the honest statement of residual risk. Deliberately not dressed as a p-value: 287 residuals cannot support a tail probability, the largest frequency rests on six observations, and the twelve are not independent since seven are Zn-pcu and three Cu-nbo, which makes the bound conservative for the count while raising the prospect that a whole family is under-rated together. All twelve are queued, so the risk is retired by measurement rather than argument"
rep01,gated,24.80,2026-08-30T15:00:32.674020+09:00,T+ stated,log heading,"2026-08-30 (T+24.8h) — An analysis I am not going to run, and why that is the cost of the leak"
rep01,gated,24.99,2026-08-30T15:12:04+09:00,second,commit cfaaf20,"Login-node measurement prepared as a contingency and deliberately not yet triggered, with the scope limit fixed in advance: Bei ruled login-node compute is not metered against the 1,610 CPU-h budget, and the queue cannot block it, so the twelve ceiling-critical structures could be measured there one at a time under the 30-minute etiquette cap - several have nsuper 848-1224 and plausibly fit in 10-20 min. Holding for three reasons: the queue may free and a concurrent start would share a run directory and corrupt both, keep it light is a real constraint on a machine every cluster user shares, and section 6 requires a job ID which a login run has none of. Trigger fixed at 20:00 KST so the decision is not made under pressure. CHARTER-READ filed: I read section 6 purposively as traceability but do NOT take the loose reading for the Claim - login numbers support landscape and ceiling coverage only, no number in REPORT section 1 may come from one, and the Claim plus its G6 reproduction stay on the scheduler with real job IDs"
rep01,gated,25.00,2026-08-30T15:12:32.674020+09:00,T+ stated,log heading,"2026-08-30 (T+25h) — The width question closed for good, and a realistic ETA"
rep01,gated,25.20,2026-08-30T15:24:32.674020+09:00,T+ stated,log heading,2026-08-30 (T+25.2h) - The coverage denominator checked against itself
rep01,gated,25.50,2026-08-30T15:42:32.674020+09:00,T+ stated,log heading,"2026-08-30 (T+25.5h) — Anomaly sweep: nothing wrong, and one thing worth knowing"
rep01,gated,25.80,2026-08-30T16:00:32.674020+09:00,T+ stated,log heading,2026-08-30 (T+25.8h) — Putting a number on the ceiling risk instead of asserting it
rep01,gated,26.00,2026-08-30T16:12:32.674020+09:00,T+ stated,log heading,2026-08-30 (T+26h) — A contingency prepared and deliberately not yet used: login-node measurement
rep01,gated,27.07,2026-08-30T17:16:38+09:00,second,commit 2414da9,"Login-node contingency measured and cut to a quarter of its size, before the trigger fires rather than after: I claimed several ceiling-critical structures would complete in 10-20 minutes, which came from the pilot MINIMUM of 579 s when the median is 2775 - using the best case of a distribution as its typical value, four hours after misreading a constant as a variable. Costed against 303 of my own runtimes, only the six nsuper-848 structures have a median under the 1800 s cap and even they have p90 2330, so about half would time out; the other six at nsuper 1224-3696 have medians of 2812 to 15085 s and are hopeless. Scope cut to those six, then stop. Explicitly rejected splitting each structure into two sub-30-minute invocations: it satisfies the letter of the etiquette rule while occupying a shared interactive node for hours, which is what the rule exists to prevent - if the honest version of a plan does not fit, the answer is a smaller plan and not a cleverer accounting of the same one. By-product: the banded runtime table replaces the cost formula flagged as broken at T+22h"
rep01,gated,27.69,2026-08-30T17:53:43+09:00,second,commit 958ac22,"First dispatch at 17:48: claim1 and claim4 running on ac at Claim grade, and claim1 is the leader 2021[Cu][sql]2[ASR]6 - the number the whole report turns on. Login-node contingency stood down before its 20:00 trigger since the scheduler is delivering and the six structures it would have bought are worth less than not competing with my own jobs for the node; the script guard refusing to run while a scheduler job is live is that reasoning already encoded. Nothing about the earlier flat stretch was diagnostic - completions on this account are bursty, which is why no third scheduler hypothesis was worth forming. Next: the moment claim1 writes its row, mkg6.py can build the G6 reproduction list from the archived claim inputs and a slot will have freed to run it"
rep01,gated,27.83,2026-08-30T18:02:28+09:00,second,commit 702b638,CORRECTION: the first-dispatch entry was written through the trap I had already documented twice
rep01,gated,28.00,2026-08-30T18:12:32.674020+09:00,T+ stated,log heading,"2026-08-30 (T+28h) — The login-node contingency, measured and cut to a quarter of its size"
rep01,gated,28.60,2026-08-30T18:48:32.674020+09:00,T+ stated,log heading,2026-08-30 (T+28.6h) — First dispatch: the two Claim-grade jobs that matter most
rep01,gated,28.70,2026-08-30T18:54:32.674020+09:00,T+ stated,log heading,2026-08-30 (T+28.7h) — CORRECTION: the entry above was written through the trap I had already documented
rep01,gated,29.78,2026-08-30T19:59:20+09:00,second,commit b100d21,"G7 reproduction outcomes now recorded to AUDIT.jsonl automatically as they land, passes included: the gate note is explicit that G7 exists to produce a denominator, so a pass rate is meaningless without the passes. First audit reproduces - 2017[Zr][csq]3[ASR]3 gives 153.56 then 154.44 from the archived inputs with only RandomSeed changed 3001 to 7001, a difference of +0.88 against a combined sigma of 2.0. That also confirms in practice what I had only dry-tested at T+24.5h: the seed substitution genuinely fires, so the reproduction was capable of disagreeing. Criterion stated in every line as mine and not the charters - three combined sigma on RASPA block-average errors - with the margin recorded so a reader can apply a different one"
rep01,gated,29.80,2026-08-30T20:00:33+09:00,second,commit e399abd,"STATE reflects the live picture and carries an explicit ordered next-actions list, so a cold resume knows what to do rather than only what happened: 3 running and 9 waiting, claim1 (the leader) and claim4 at 2h12m into Claim grade and past the 5.8 bar leg, g7b at 35m, one G7 audit reproduced. Also pre-narrowed jobs/g6.qsub from ppn=6 to ppn=1 to match everything else, since G6 is the latest-starting mandatory item and a six-core request would sit behind the same wall the wide jobs did"
rep01,gated,30.00,2026-08-30T20:12:32.674020+09:00,T+ stated,log heading,"2026-08-30 (T+30h) — First Claim-grade number, and the second test of the assumption the whole screen rests on"
rep01,gated,30.14,2026-08-30T20:20:51+09:00,second,commit 9f6f8c7,"First Claim-grade number, and it is the second test of the assumption the whole screen rests on: 2013[Yb][nia]3[ASR]1 gives 196.48 +/- 0.81 at 10k+50k against 196.29 +/- 1.07 at floor grade, a shift of +0.20 with protocol re-verified on the Claim-grade run itself. The 308-structure screen assumes floor grade ranks as Claim grade would, and until now that rested on one comparison which the report explicitly flagged as not a calibration; there are now two, +0.87 and +0.20, both small, both positive, both inside the Claim-grade error bar. Two points is still not a calibration and is not presented as one, but it is a pattern rather than an anecdote and the direction is harmless. Cost measured at 3.36x floor against the 3.7x I plan with, so the planning figure is conservative. Holding the slot freed by claim4 for G6 rather than more screening, since claim1 is the only structure whose reproduction Appendix A actually requires"
rep01,gated,30.45,2026-08-30T20:39:39+09:00,second,commit f4e5519,"Ceiling-critical scoreboard as a reusable script: the twelve structures that could in principle beat the leader, each measurement either retiring one or overturning the claim. First result in and it is a clean retirement - 2005[Zn][pcu]3[ASR]4 predicted 184.94, measured 184.88, residual -0.06, some 22.6 below the leader. The script also tracks the running residual statistics, since the margin the threshold rests on is re-estimated by exactly these measurements"
rep01,gated,31.10,2026-08-30T21:18:37+09:00,second,commit d557268,"Second G7 audit reproduces and a second ceiling-critical structure retires: 2017[Zn][nan]3[ASR]2 gives 146.41 then 146.16 from the archive, diff -0.25 against combined sigma 1.43, so G7 stands at 2 of 2 reproduced; and 2016[Cu][nbo]3[ASR]1 measures 185.22 against a prediction of 182.04, residual +3.18, landing 22.2 below the leader. Two of twelve ceiling-critical structures retired, none exceeding 207.45, and the largest residual among them so far is +3.18 against the 25.9 margin the threshold uses"
rep01,gated,32.89,2026-08-30T23:05:48+09:00,second,commit 77cbc61,"G7 at 3 of 3 reproduced with mixed signs, and the ten pending ceiling-critical structures pulled into a dedicated worker: audits give +0.88, -0.25 and -0.69 against combined sigmas of 2.33, 1.43 and 2.15, all from archived inputs with only the seed changed so each could have disagreed, and mixed signs are what independent Monte Carlo noise should look like. The twelve criticals had been dealt round-robin across r2a-r2e so whichever dispatched first would start on one, but only r2c dispatched, leaving ten at the heads of four still-queued lists - so rep01_crit now carries all ten cheapest-first, and they are removed from r2a/b/d/e at the same time because a structure sitting in two lists risks two workers sharing a run directory, which the de-duplication guard fires too late to prevent"
rep01,gated,33.00,2026-08-30T23:12:32.674020+09:00,T+ stated,log heading,"2026-08-30 (T+33h) — G7 at 3 of 3, and the ceiling-critical set pulled into its own worker"
rep01,gated,33.79,2026-08-31T00:00:00+09:00,date only,log heading,2026-08-31 — Closing record: the deliverable is filed and complete
rep01,gated,36.24,2026-08-31T02:27:00+09:00,minute,log heading,"2026-08-31 02:27 (T+36.3h) — The leader at Claim grade, and G6 is running"
rep01,gated,36.28,2026-08-31T02:29:07+09:00,second,commit c9018b9,"The leader at Claim grade: 2021[Cu][sql]2[ASR]6 gives 207.11 +/- 0.54 at 10k+50k after 30,941 s, against 207.45 +/- 0.83 at floor grade - a shift of -0.34, inside its own error bar, protocol re-verified on the Claim-grade run itself, still below the G2 band. This is the third grade comparison and the first that moves DOWN: the earlier two were both positive, which left open the reading that promotion systematically lifts a number, and three shifts straddling zero says these are Monte Carlo differences rather than a grade bias. G6 submitted immediately into the slot held for it since claim4 finished, reproducing from the archived claim inputs with seed 5001 to 9001, leader first. Also caught a quiet bug in the act: mkg6.py reported nothing to reproduce with two Claim-grade rows plainly on disk, because its Python sanitiser omitted the trailing underscore that echo newline puts into the shell-built directory names - a nothing-to-do that fires when the thing exists is the same class of failure as a job counter that can only print zero, and believing it would have cost the campaign its G6"
rep01,gated,36.29,2026-08-31T02:30:12+09:00,second,commit 05e4ba5,"STATE refreshed to the live picture: best measured is now the Claim-grade 207.11 +/- 0.54 with G6 running, five jobs running and six queued, and the three-point grade calibration carried where a cold reader will find it"
rep01,gated,40.77,2026-08-31T06:59:00+09:00,minute,log heading,2026-08-31 06:59 (T+40.8h) — Third finalist at Claim grade; the leader's margin is now measured rather than inferred
rep01,gated,40.81,2026-08-31T07:00:51+09:00,second,commit 3497f7a,"Third finalist at Claim grade and the leaders margin is now measured rather than inferred: 2016[Cu][pts]3[ASR]1 gives 200.06 +/- 0.90, so the first-to-second gap of 7.05 is a Claim-to-Claim comparison against combined errors near 1.05, about seven sigma - the leaders identity is not in question on measurement grounds and the only live risk is an unmeasured structure, which is what the ceiling-critical twelve are for. Fourth grade comparison holds the pattern: +0.87, +0.20, -0.34, +0.22, straddling zero, each inside its own floor-grade error bar, with cost ratios from 3.24x to 4.80x showing the 3.7x planning figure is an average and not a constant. The three finalists N(65) values agree to within 1.5 while their N(5.8) spans 36.7 to 45.8, so the ranking among them is set almost entirely at the low-pressure end - the same mechanism the anomaly sweep found separating the leader from the highest-N65 structure in the whole set"
